,user,text,favorite_count,retweet_count,created_at
122,iamsrk,You are the best always thank u https://t.co/2S7vu0q9NB,4045,786,2023-02-06 09:28:40+00:00
123,iamsrk,Love you Bihar https://t.co/ipDPEFHb1x,6665,964,2023-02-06 09:28:23+00:00
124,iamsrk,Thank u all of u https://t.co/aZau8Vhsmk,3741,713,2023-02-06 09:28:10+00:00
125,iamsrk,So organised thank u!!! https://t.co/9gUhzlph4R,3981,746,2023-02-06 09:27:51+00:00
126,iamsrk,I hope u enjoyed it the third time thank u https://t.co/x8DvAWtamT,3698,725,2023-02-06 09:27:38+00:00
127,iamsrk,Thank u Lucknow https://t.co/XHbqx6cRO3,4235,775,2023-02-06 09:27:19+00:00
128,iamsrk,Go today Meerut thank u https://t.co/beAn9bkShb,3994,779,2023-02-06 09:27:00+00:00
129,iamsrk,Thank u Indore https://t.co/GgojWio4s7,4209,764,2023-02-06 09:26:39+00:00
130,iamsrk,Love u Peru https://t.co/xHIF6VJMDM,3740,719,2023-02-06 09:26:19+00:00
131,iamsrk,Thank u New Zealand https://t.co/Uw8DspsTvV,4106,743,2023-02-06 09:26:02+00:00
132,iamsrk,Delhi always…thank u https://t.co/I4JZ1XQ0EO,4694,820,2023-02-06 09:25:28+00:00
133,iamsrk,Thank u again https://t.co/18NgFg69Yn,3727,746,2023-02-06 09:25:12+00:00
134,iamsrk,Well danced everyone thank u https://t.co/TIwc2DNk82,3657,731,2023-02-06 09:24:57+00:00
135,iamsrk,Ha ha nice….!! https://t.co/0roEisIz60,6001,850,2023-02-06 09:24:30+00:00
136,iamsrk,Thank u Egypt https://t.co/OiDYpMsPRS,4329,790,2023-02-06 09:24:02+00:00
137,iamsrk,Love u all thank u https://t.co/l1z9HU59Al,3659,703,2023-02-06 09:23:26+00:00
138,iamsrk,Thank u all for the kindness https://t.co/BMJ5c6by6K,3551,720,2023-02-06 09:23:09+00:00
139,iamsrk,Bighaadte raho thank u https://t.co/Ew5VPxwvtV,3643,728,2023-02-06 09:22:49+00:00
140,iamsrk,Oh wow that’s r really sweet love to u all https://t.co/veUEpff2Xe,3906,767,2023-02-06 09:22:16+00:00
141,iamsrk,Thank u so much https://t.co/HQ6P5aO0Dv,3411,679,2023-02-06 09:21:55+00:00
142,iamsrk,You all are too sweet https://t.co/gdO1RIEBPn,3965,761,2023-02-06 09:21:25+00:00
143,iamsrk,Go again and dance thank u https://t.co/jh6fMiwkvH,5108,829,2023-02-06 09:21:07+00:00
144,iamsrk,This is very kind of you all love u https://t.co/ed0VXOQQcG,5855,1020,2023-02-06 09:10:25+00:00
145,iamsrk,Thank u so much big hug to u all https://t.co/I64FmTH0i3,4498,857,2023-02-06 09:09:59+00:00
146,iamsrk,Thank u and have a good life https://t.co/yBXLthPSzN,3680,798,2023-02-06 09:09:19+00:00
147,iamsrk,Thank u too https://t.co/BTMgrIH2ZE,5727,887,2023-02-06 09:08:33+00:00
148,iamsrk,Yes it’s very sweet thank u https://t.co/kdirufZGXT,4053,808,2023-02-06 09:08:04+00:00
149,iamsrk,Thank u boys and girls love to u https://t.co/p8zAqpaQeZ,3746,795,2023-02-06 09:07:42+00:00
150,iamsrk,Very happy to see u all https://t.co/qGl69DnpJ6,4748,874,2023-02-06 09:07:29+00:00
151,iamsrk,Yaar yeh toh kaafi zyaada ho gaya thank u https://t.co/ortgMyh7Hf,21401,1875,2023-02-06 09:07:09+00:00
152,iamsrk,Love to u all https://t.co/k3EwckZlaX,4149,758,2023-02-06 09:06:46+00:00
153,iamsrk,Thank u https://t.co/4uetWdHyiM,3204,698,2023-02-06 09:06:33+00:00
154,iamsrk,Keep watching thank u https://t.co/JMnsJPCRJH,3764,761,2023-02-06 09:06:15+00:00
155,iamsrk,Oh wow!! https://t.co/CPANVwyd4q,11406,1215,2023-02-06 09:05:57+00:00
156,iamsrk,Thank u so much https://t.co/lLoX5lK3qn,3299,695,2023-02-06 09:05:04+00:00
157,iamsrk,All looking sharp thank u https://t.co/7ZXoqUyEi4,4073,757,2023-02-06 09:04:54+00:00
158,iamsrk,Thank u so much https://t.co/SoA3xZKQrD,3194,699,2023-02-06 09:04:35+00:00
159,iamsrk,Keep the party on thank I https://t.co/cXzXCiGHHX,3630,769,2023-02-06 09:04:13+00:00
160,iamsrk,Love u all thanks https://t.co/W7W1SvuABj,3526,771,2023-02-06 09:03:51+00:00
161,iamsrk,Thank u for watching it again https://t.co/vQ33v16Dxy,3496,780,2023-02-06 09:03:39+00:00
